player_id,season_id,matches,innings,runs,balls,average,strike_rate,fours,sixes,fifties,hundreds,dot_ball_pct,boundary_pct,highest_score
227,1,1,1,9.0,8.0,9.0,112.5,0,1,0,0,50.0,12.5,9.0
227,2,4,4,39.0,39.0,9.75,100.0,4,0,0,0,35.9,10.26,27.0
227,3,2,2,12.0,10.0,6.0,120.0,0,0,0,0,10.0,0.0,9.0
227,5,3,3,14.0,16.0,4.67,87.5,1,0,0,0,43.75,6.25,9.0
227,6,1,1,5.0,5.0,5.0,100.0,0,0,0,0,20.0,0.0,5.0
27,2,1,1,16.0,13.0,16.0,123.08,2,0,0,0,23.08,15.38,16.0
27,3,10,10,233.0,184.0,23.3,126.63,18,8,1,0,33.15,14.13,65.0
27,5,8,8,127.0,108.0,15.88,117.59,5,4,0,0,25.93,8.33,35.0
27,6,10,10,172.0,139.0,17.2,123.74,5,10,0,0,30.94,10.79,40.0
27,8,10,10,144.0,104.0,14.4,138.46,12,6,0,0,30.77,17.31,28.0
27,10,2,2,32.0,27.0,16.0,118.52,2,1,0,0,33.33,11.11,31.0
669,9,3,3,20.0,27.0,6.67,74.07,1,0,0,0,48.15,3.7,12.0
669,10,1,1,0.0,1.0,0.0,0.0,0,0,0,0,100.0,0.0,0.0
669,11,1,1,9.0,13.0,9.0,69.23,1,0,0,0,61.54,7.69,9.0
669,12,5,5,61.0,57.0,12.2,107.02,5,2,0,0,38.6,12.28,24.0
337,5,2,2,47.0,26.0,23.5,180.77,3,3,0,0,19.23,23.08,31.0
337,6,2,2,11.0,14.0,5.5,78.57,0,0,0,0,42.86,0.0,7.0
337,7,2,2,2.0,8.0,1.0,25.0,0,0,0,0,75.0,0.0,1.0
337,8,11,11,326.0,169.0,29.64,192.9,35,19,3,0,28.4,31.95,66.0
337,9,8,8,188.0,114.0,23.5,164.91,10,15,0,0,33.33,21.93,39.0
337,11,14,14,316.0,171.0,22.57,184.8,17,31,1,0,36.84,28.07,88.0
337,12,13,14,514.0,252.0,39.54,203.97,32,52,4,0,37.3,33.33,80.0
337,13,9,9,117.0,81.0,13.0,144.44,9,9,0,0,43.21,22.22,25.0
337,14,8,8,183.0,120.0,22.88,152.5,14,14,1,0,40.83,23.33,54.0
337,15,12,12,335.0,192.0,27.92,174.48,18,32,1,0,42.19,26.04,70.0
337,16,14,14,227.0,156.0,16.21,145.51,13,18,0,0,42.95,19.87,42.0
337,17,9,9,222.0,120.0,24.67,185.0,20,16,1,0,32.5,30.0,64.0
337,18,10,10,167.0,102.0,16.7,163.73,16,14,1,0,48.04,29.41,57.0
585,10,3,3,7.0,12.0,2.33,58.33,0,0,0,0,50.0,0.0,5.0
585,14,3,3,16.0,17.0,5.33,94.12,0,1,0,0,41.18,5.88,15.0
268,4,1,1,2.0,5.0,2.0,40.0,0,0,0,0,60.0,0.0,2.0
268,5,1,1,3.0,5.0,3.0,60.0,0,0,0,0,40.0,0.0,3.0
268,6,1,1,5.0,4.0,5.0,125.0,1,0,0,0,50.0,25.0,5.0
232,3,1,1,0.0,1.0,0.0,0.0,0,0,0,0,100.0,0.0,0.0
232,4,4,4,49.0,57.0,12.25,85.96,9,0,0,0,59.65,15.79,20.0
20,3,1,1,21.0,21.0,21.0,100.0,0,1,0,0,33.33,4.76,21.0
20,4,6,6,47.0,46.0,7.83,102.17,3,3,0,0,52.17,13.04,25.0
20,5,2,2,55.0,51.0,27.5,107.84,8,0,0,0,41.18,15.69,30.0
20,6,14,14,456.0,336.0,32.57,135.71,54,16,4,0,40.77,20.83,67.0
20,7,13,13,309.0,263.0,23.77,117.49,31,9,2,0,37.64,15.21,88.0
20,8,3,3,23.0,33.0,7.67,69.7,4,0,0,0,63.64,12.12,10.0
20,9,12,12,393.0,299.0,32.75,131.44,45,11,5,0,35.12,18.73,74.0
20,10,13,14,300.0,184.0,23.08,163.04,25,19,2,0,32.07,23.91,72.0
20,11,9,9,134.0,100.0,14.89,134.0,6,8,0,0,26.0,14.0,46.0
20,13,12,12,268.0,241.0,22.33,111.2,28,8,1,0,43.15,14.94,52.0
20,15,5,5,86.0,61.0,17.2,140.98,10,3,1,0,40.98,21.31,58.0
615,16,1,1,16.0,10.0,16.0,160.0,1,1,0,0,30.0,20.0,16.0
443,12,4,4,3.0,10.0,0.75,30.0,0,0,0,0,70.0,0.0,3.0
443,17,2,2,21.0,18.0,10.5,116.67,0,2,0,0,33.33,11.11,16.0
161,10,3,3,53.0,30.0,17.67,176.67,4,3,0,0,20.0,23.33,25.0
161,11,8,8,32.0,38.0,4.0,84.21,2,1,0,0,47.37,7.89,14.0
161,12,1,1,0.0,2.0,0.0,0.0,0,0,0,0,50.0,0.0,0.0
161,13,1,1,6.0,6.0,6.0,100.0,0,1,0,0,83.33,16.67,6.0
488,14,6,6,146.0,119.0,24.33,122.69,12,4,0,0,28.57,13.45,42.0
488,15,12,12,381.0,274.0,31.75,139.05,25,19,3,0,28.47,16.06,68.0
488,16,13,13,248.0,197.0,19.08,125.89,18,8,1,0,28.93,13.2,50.0
488,17,11,11,220.0,177.0,20.0,124.29,18,4,1,0,26.55,12.43,50.0
488,18,13,13,445.0,299.0,34.23,148.83,38,22,5,0,32.11,20.07,66.0
272,15,1,1,0.0,2.0,0.0,0.0,0,0,0,0,100.0,0.0,0.0
272,16,1,1,17.0,8.0,17.0,212.5,2,1,0,0,25.0,37.5,17.0
272,17,1,1,2.0,2.0,2.0,100.0,0,0,0,0,0.0,0.0,2.0
272,18,2,2,6.0,2.0,3.0,300.0,0,1,0,0,50.0,50.0,6.0
363,17,1,1,4.0,5.0,4.0,80.0,0,0,0,0,20.0,0.0,4.0
363,18,1,1,4.0,9.0,4.0,44.44,0,0,0,0,55.56,0.0,4.0
597,4,10,10,180.0,152.0,18.0,118.42,10,10,0,0,39.47,13.16,34.0
597,5,12,12,220.0,202.0,18.33,108.91,14,8,0,0,38.12,10.89,40.0
597,6,1,1,1.0,2.0,1.0,50.0,0,0,0,0,50.0,0.0,1.0
313,1,10,10,206.0,138.0,20.6,149.28,16,9,0,0,24.64,18.12,45.0
313,2,11,11,193.0,152.0,17.55,126.97,14,7,0,0,32.24,13.82,35.0
313,3,3,3,58.0,51.0,19.33,113.73,4,2,0,0,33.33,11.76,27.0
313,4,9,9,61.0,67.0,6.78,91.04,9,0,0,0,47.76,13.43,17.0
313,5,4,4,45.0,49.0,11.25,91.84,2,1,0,0,30.61,6.12,24.0
313,6,9,9,66.0,73.0,7.33,90.41,5,0,0,0,34.25,6.85,25.0
313,7,4,4,43.0,47.0,10.75,91.49,5,1,0,0,61.7,12.77,23.0
151,1,2,2,4.0,17.0,2.0,23.53,1,0,0,0,94.12,5.88,4.0
151,2,7,7,144.0,123.0,20.57,117.07,12,3,2,0,29.27,12.2,62.0
151,4,7,7,120.0,98.0,17.14,122.45,12,2,1,0,33.67,14.29,52.0
151,5,16,16,560.0,433.0,35.0,129.33,73,10,3,1,36.03,19.17,103.0
151,6,18,18,488.0,458.0,27.11,106.55,42,11,4,0,38.43,11.57,68.0
151,7,12,12,339.0,291.0,28.25,116.49,38,3,3,0,37.11,14.09,72.0
151,8,13,13,540.0,413.0,41.54,130.75,53,13,4,0,31.96,15.98,91.0
151,9,14,14,480.0,379.0,34.29,126.65,54,9,6,0,34.04,16.62,74.0
151,10,16,16,382.0,323.0,23.88,118.27,35,9,2,0,34.98,13.62,60.0
