player_id,season_id,phase,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
580,1,Death Over,6,6,37,6.0,52.0,2,8.67,26.0,18.0,11,29.73,6,1
580,1,Middle Over,3,3,18,3.0,22.0,0,7.33,0.0,inf,8,44.44,2,1
580,1,Powerplay Over,9,9,158,26.0,168.0,5,6.46,33.6,31.2,80,50.63,21,6
586,1,Death Over,6,6,56,9.0,73.0,5,8.11,14.6,10.8,14,25.0,4,4
586,1,Middle Over,11,11,168,28.0,178.0,6,6.36,29.67,26.0,55,32.74,11,5
586,1,Powerplay Over,2,2,12,2.0,33.0,0,16.5,0.0,inf,1,8.33,4,2
590,1,Death Over,8,8,66,11.0,98.0,7,8.91,14.0,9.43,21,31.82,7,6
590,1,Middle Over,10,10,123,20.0,116.0,8,5.8,14.5,14.25,47,38.21,7,3
590,1,Powerplay Over,5,5,37,6.0,35.0,0,5.83,0.0,inf,16,43.24,3,1
593,1,Middle Over,1,1,12,2.0,19.0,1,9.5,19.0,12.0,3,25.0,0,2
597,1,Death Over,2,2,13,2.0,26.0,1,13.0,26.0,12.0,5,38.46,2,2
597,1,Middle Over,8,8,109,18.0,140.0,4,7.78,35.0,27.0,47,43.12,15,5
597,1,Powerplay Over,3,3,19,3.0,16.0,0,5.33,0.0,inf,7,36.84,1,0
598,1,Middle Over,2,2,24,4.0,34.0,1,8.5,34.0,24.0,9,37.5,6,0
598,1,Powerplay Over,1,1,7,1.0,8.0,0,8.0,0.0,inf,2,28.57,1,0
615,1,Death Over,8,8,63,10.0,101.0,4,10.1,25.25,15.0,11,17.46,10,4
615,1,Middle Over,6,6,42,7.0,50.0,1,7.14,50.0,42.0,14,33.33,6,0
615,1,Powerplay Over,8,8,94,15.0,145.0,3,9.67,48.33,30.0,39,41.49,21,4
634,1,Death Over,1,1,7,1.0,12.0,0,12.0,0.0,inf,2,28.57,1,0
634,1,Middle Over,4,4,62,10.0,71.0,5,7.1,14.2,12.0,23,37.1,7,1
640,1,Death Over,1,1,6,1.0,21.0,0,21.0,0.0,inf,0,0.0,0,3
641,1,Death Over,1,1,6,1.0,13.0,0,13.0,0.0,inf,1,16.67,1,1
641,1,Middle Over,2,2,20,3.0,34.0,0,11.33,0.0,inf,4,20.0,5,0
641,1,Powerplay Over,1,1,6,1.0,12.0,0,12.0,0.0,inf,1,16.67,1,1
654,1,Death Over,3,3,13,2.0,35.0,0,17.5,0.0,inf,6,46.15,1,5
654,1,Middle Over,12,12,127,21.0,167.0,5,7.95,33.4,25.2,36,28.35,8,9
654,1,Powerplay Over,4,4,30,5.0,28.0,3,5.6,9.33,10.0,17,56.67,2,2
668,1,Death Over,3,3,16,2.0,25.0,1,12.5,25.0,15.0,6,37.5,3,1
668,1,Middle Over,4,4,42,7.0,60.0,1,8.57,60.0,36.0,9,21.43,4,2
670,1,Death Over,7,7,62,10.0,136.0,3,13.6,45.33,20.0,10,16.13,8,10
670,1,Middle Over,10,10,91,15.0,115.0,3,7.67,38.33,30.0,33,36.26,10,6
670,1,Powerplay Over,3,3,18,3.0,25.0,1,8.33,25.0,18.0,9,50.0,4,1
676,1,Powerplay Over,3,3,46,7.0,54.0,5,7.71,10.8,8.4,23,50.0,6,2
684,1,Death Over,2,2,13,2.0,29.0,0,14.5,0.0,inf,3,23.08,1,3
684,1,Middle Over,5,5,66,11.0,101.0,2,9.18,50.5,33.0,21,31.82,7,6
689,1,Death Over,8,8,63,10.0,101.0,2,10.1,50.5,30.0,15,23.81,10,3
689,1,Middle Over,10,10,108,18.0,102.0,9,5.67,11.33,12.0,44,40.74,8,2
689,1,Powerplay Over,14,14,165,27.0,217.0,3,8.04,72.33,54.0,82,49.7,30,7
692,1,Death Over,12,12,102,17.0,172.0,9,10.12,19.11,10.89,25,24.51,18,6
692,1,Middle Over,6,6,38,6.0,43.0,1,7.17,43.0,36.0,14,36.84,4,1
692,1,Powerplay Over,14,14,185,30.0,227.0,5,7.57,45.4,34.8,83,44.86,34,5
699,1,Death Over,9,9,56,9.0,69.0,9,7.67,7.67,6.11,24,42.86,4,4
699,1,Middle Over,11,11,141,23.0,177.0,4,7.7,44.25,33.0,43,30.5,17,5
699,1,Powerplay Over,8,8,69,11.0,124.0,3,11.27,41.33,22.0,27,39.13,17,5
700,1,Death Over,5,5,37,6.0,57.0,2,9.5,28.5,18.0,8,21.62,3,3
700,1,Middle Over,10,10,123,20.0,142.0,6,7.1,23.67,20.0,38,30.89,12,4
700,1,Powerplay Over,4,4,25,4.0,26.0,1,6.5,26.0,24.0,11,44.0,4,0
705,1,Middle Over,1,1,25,4.0,25.0,1,6.25,25.0,24.0,6,24.0,2,0
714,1,Death Over,7,7,49,8.0,63.0,5,7.88,12.6,9.6,21,42.86,4,4
714,1,Middle Over,15,15,219,36.0,284.0,8,7.89,35.5,26.25,69,31.51,22,11
714,1,Powerplay Over,5,5,32,5.0,52.0,0,10.4,0.0,inf,12,37.5,6,2
718,1,Death Over,8,8,93,15.0,145.0,8,9.67,18.12,11.25,23,24.73,15,5
718,1,Middle Over,9,9,112,18.0,141.0,3,7.83,47.0,36.0,37,33.04,15,4
722,1,Middle Over,1,1,12,2.0,25.0,0,12.5,0.0,inf,2,16.67,1,2
730,1,Death Over,1,1,6,1.0,10.0,0,10.0,0.0,inf,3,50.0,2,0
730,1,Middle Over,2,2,18,3.0,31.0,1,10.33,31.0,18.0,5,27.78,6,0
