team_id,season_id,matches,wins,ties,no_results,losses,win_pct,runs_scored,runs_conceded,wickets_taken,wickets_lost,avg_runs_scored,avg_runs_conceded,chasing_matches,chasing_wins,chasing_win_pct,defending_matches,defending_wins,defending_win_pct,fours,sixes
11,4,16,10,0,0,6,62.5,2469.0,2512.0,87,79,154.31,157.0,11,7,63.64,5,3,60.0,432,183
11,5,15,8,0,0,7,53.33,2472.0,2505.0,89,83,164.8,167.0,8,4,50.0,7,4,57.14,405,207
11,6,16,8,2,0,6,50.0,2601.0,2482.0,105,78,162.56,155.12,6,3,75.0,12,5,50.0,459,181
11,7,14,5,0,0,9,35.71,2093.0,2163.0,73,82,149.5,154.5,8,4,50.0,6,1,16.67,337,167
11,8,16,8,0,2,6,50.0,2311.0,2184.0,103,79,144.44,136.5,10,5,55.56,6,3,60.0,400,186
11,9,16,9,0,0,7,56.25,2981.0,2711.0,99,71,186.31,169.44,6,4,66.67,10,5,50.0,482,239
11,10,13,3,0,0,10,23.08,1845.0,2033.0,79,97,141.92,156.38,5,0,0.0,8,3,37.5,299,158
11,11,14,6,0,0,8,42.86,2322.0,2383.0,84,86,165.86,170.21,8,4,50.0,6,2,33.33,373,227
11,12,14,5,0,1,8,35.71,2208.0,2307.0,69,84,157.71,164.79,5,2,40.0,9,3,37.5,386,205
11,13,15,6,1,0,8,40.0,2289.0,2322.0,82,79,152.6,154.8,6,3,60.0,10,3,33.33,356,157
11,14,15,9,0,0,6,60.0,2303.0,2298.0,96,90,153.53,153.2,7,4,57.14,8,5,62.5,385,166
11,15,16,9,0,0,7,56.25,2632.0,2614.0,97,98,164.5,163.38,7,4,57.14,9,5,55.56,405,249
11,16,14,7,0,0,7,50.0,2502.0,2435.0,95,80,178.71,173.93,5,2,40.0,9,5,55.56,398,233
12,1,14,2,0,0,12,14.29,2229.0,2307.0,67,93,159.21,164.79,6,2,33.33,8,0,0.0,426,173
12,2,16,9,0,0,7,56.25,2408.0,2387.0,110,101,150.5,149.19,8,4,50.0,8,5,62.5,368,178
12,3,16,8,0,0,8,50.0,2374.0,2482.0,102,114,148.38,155.12,9,3,33.33,7,5,71.43,414,169
12,4,14,6,0,0,8,42.86,2140.0,2037.0,84,87,152.86,145.5,5,1,20.0,9,5,55.56,385,114
