player_id,season_id,opposition_team_id,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
273,1,5,2,2,49,8.0,65.0,0,8.12,0.0,inf,18,36.73,11,0
273,1,6,2,2,48,8.0,44.0,1,5.5,44.0,48.0,19,39.58,4,0
273,1,9,1,1,24,4.0,22.0,0,5.5,0.0,inf,8,33.33,1,1
273,1,11,3,3,75,12.0,71.0,1,5.92,71.0,72.0,44,58.67,9,2
273,1,13,2,2,36,6.0,47.0,2,7.83,23.5,18.0,14,38.89,4,3
273,1,16,2,2,48,8.0,64.0,2,8.0,32.0,24.0,24,50.0,7,3
273,1,17,2,2,49,8.0,44.0,6,5.5,7.33,8.0,26,53.06,5,1
286,1,2,1,1,13,2.0,30.0,0,15.0,0.0,inf,3,23.08,3,2
286,1,5,1,1,24,4.0,34.0,2,8.5,17.0,12.0,8,33.33,4,1
286,1,6,1,1,24,4.0,36.0,1,9.0,36.0,24.0,9,37.5,2,2
286,1,9,2,2,26,4.0,29.0,0,7.25,0.0,inf,15,57.69,3,1
286,1,11,1,1,12,2.0,20.0,0,10.0,0.0,inf,2,16.67,3,0
286,1,13,1,1,24,4.0,26.0,0,6.5,0.0,inf,9,37.5,3,0
286,1,17,2,2,30,5.0,44.0,1,8.8,44.0,30.0,9,30.0,6,1
289,1,2,1,1,6,1.0,19.0,0,19.0,0.0,inf,0,0.0,1,2
289,1,5,1,1,12,2.0,10.0,0,5.0,0.0,inf,5,41.67,1,0
289,1,9,1,1,18,3.0,26.0,0,8.67,0.0,inf,4,22.22,0,2
289,1,11,1,1,19,3.0,27.0,1,9.0,27.0,19.0,9,47.37,4,1
290,1,2,1,1,6,1.0,15.0,0,15.0,0.0,inf,0,0.0,3,0
290,1,5,1,1,5,0.0,26.0,0,inf,0.0,inf,0,0.0,2,3
290,1,13,1,1,6,1.0,8.0,0,8.0,0.0,inf,0,0.0,0,0
291,1,2,1,1,12,2.0,15.0,1,7.5,15.0,12.0,3,25.0,2,0
291,1,6,1,1,7,1.0,10.0,0,10.0,0.0,inf,3,42.86,2,0
291,1,9,1,1,19,3.0,7.0,2,2.33,3.5,9.0,12,63.16,0,0
291,1,16,1,1,6,1.0,8.0,0,8.0,0.0,inf,1,16.67,1,0
293,1,6,1,1,12,2.0,14.0,0,7.0,0.0,inf,2,16.67,0,1
